protein,milk,15.80947202866076 gram
protein,egg,12.64665006089748 gram
protein,chicken,18.01612137862138 gram
protein,beef,6.225619757637472 gram
protein,pork,9.646798486601119 gram
protein,sardine,13.749929929663228 gram
protein,bean,19.00718838695938 gram
protein,almond,9.334890666538682 gram
protein,chia,6.119684877672494 gram
carb,rice,155.41822497644418 gram
carb,wholewheat-bread,63.98701298701299 gram
carb,oat,46.397406951286264 gram
carb,potato,34.04852355247092 gram
carb,quinoa,72.58888423404552 gram
carb,pasta,194.22079594890516 gram
carb,corn,20.018825545343596 gram
fat,avocado,6.196964663243733 gram
fat,olive-oil,46.79702916479232 gram
fat,peanut-butter,38.72270950640504 gram
fat,greek-yoghurt,13.020859017082934 gram
fat,cheese,15.515579041549653 gram
fat,salmon,3.05073816905223 gram
fat,tuna,2.8023635215940947 gram
fat,sardine,6.700816840975944 gram
fat,almond,22.59588154830547 gram
